corp_name,stock_code,kind_code
환인제약,016580,01658
효성,004800,00480
효성화학,298000,29800
흥국화재,000540,00054
APS홀딩스,054620,05462
CBI,013720,01372
CNT85,056730,05673
CS,065770,06577
HLB생명과학,067630,06763
HRS,036640,03664
NHN벅스,104200,10420
NICE평가정보,030190,03019
TS트릴리온,317240,31724
갤럭시아머니트리,094480,09448
고영,098460,09846
광림,014200,01420
국영지앤엠,006050,00605
그래디언트,035080,03508
나노엔텍,039860,03986
나이벡,138610,13861
네오팜,092730,09273
넥스틴,348210,34821
넵튠,217270,21727
노바렉스,194700,19470
누리플렉스,040160,04016
뉴로스,126870,12687
뉴파워프라즈마,144960,14496
다날,064260,06426
대성파인텍,104040,10404
대양제지,006580,00658
대창솔루션,096350,09635
대한과학,131220,13122
더네이쳐홀딩스,298540,29854
동국산업,005160,00516
동아엘텍,088130,08813
동원개발,013120,01312
디딤,217620,21762
디스플레이텍,066670,06667
디알텍,214680,21468
디엔에프,092070,09207
디오,039840,03984
딜리,131180,13118
딥노이드,315640,31564
레드캡투어,038390,03839
레이언스,228850,22885
로보로보,215100,21510
매일홀딩스,005990,00599
머큐리,100590,10059
메가엠디,133750,13375
메디앙스,014100,01410
메디콕스,054180,05418
메타바이오메드,059210,05921
멕아이씨에스,058110,05811
모두투어,080160,08016
무림SP,001810,00181
미래에셋벤처투자,100790,10079
미래에셋비전스팩1호,412930,41293
미래에셋비전스팩1호,412930,41293
바이오로그디바이스,208710,20871
부스타,008470,00847
비엘,142760,14276
비트컴퓨터,032850,03285
비피도,238200,23820
삼륭물산,014970,01497
삼양옵틱스,225190,22519
삼일기업공사,002290,00229
삼표시멘트,038500,03850
삼화네트웍스,046390,04639
상보,027580,02758
상신이디피,091580,09158
상지카일룸,042940,04294
서울리거,043710,04371
성우하이텍,015750,01575
세경하이테크,148150,14815
세명전기,017510,01751
셀바스AI,108860,10886
솔고바이오,043100,04310
솔브레인,357780,35778
슈프리마,236200,23620
신라섬유,001000,00100
신한제6호스팩,333050,33305
싸이맥스,160980,16098
쎄트렉아이,099320,09932
씨앤씨인터내셔널,352480,35248
씨앤투스성진,352700,35270
아가방컴퍼니,013990,01399
아모그린텍,125210,12521
아모텍,052710,05271
아미코젠,092040,09204
아스플로,159010,15901
아이엠,101390,10139
아이퀘스트,262840,26284
안국약품,001540,00154
액트로,290740,29074
에디슨EV,136510,13651
에스티팜,237690,23769
에이스침대,003800,00380
에코마케팅,230360,23036
에프알텍,073540,07354
에프앤리퍼블릭,064090,06409
엔지켐생명과학,183490,18349
엔켐,348370,34837
엔투텍,227950,22795
엠에프엠코리아,323230,32323
영신금속,007530,00753
영풍정밀,036560,03656
예림당,036000,03600
오공,045060,04506
와이더플래닛,321820,32182
와이지-원,019210,01921
우리로,046970,04697
우림피티에스,101170,10117
우수AMS,066590,06659
원익홀딩스,030530,03053
원일특강,012620,01262
윈하이텍,192390,19239
윌링스,313760,31376
유안타제8호스팩,367480,36748
유에스티,263770,26377
이글벳,044960,04496
이녹스,088390,08839
이랜시스,264850,26485
이삭엔지니어링,351330,35133
이엠앤아이,083470,08347
이지케어텍,099750,09975
인선이엔티,060150,06015
인콘,083640,08364
인텔리안테크,189300,18930
인트론바이오,048530,04853
인포뱅크,039290,03929
전진바이오팜,110020,11002
정다운,208140,20814
정원엔시스,045510,04551
제놀루션,225220,22522
제이시스메디칼,287410,28741
조이시티,067000,06700
지니뮤직,043610,04361
지니틱스,303030,30303
지투파워,388050,38805
지투파워,388050,38805
천보,278280,27828
카카오게임즈,293490,29349
케이씨피드,025880,02588
케이엔더블유,105330,10533
코다코,046070,04607
코데즈컴바인,047770,04777
코리아센터,290510,29051
코리아에셋투자증권,190650,19065
코메론,049430,04943
코미팜,041960,04196
코아시아,045970,04597
코아시아옵틱스,196450,19645
코원플레이,056000,05600
코위버,056360,05636
크루셜텍,114120,11412
태광,023160,02316
테고사이언스,191420,19142
테라사이언스,073640,07364
테라젠이텍스,066700,06670
토박스코리아,215480,21548
티엘아이,062860,06286
파루,043200,04320
파멥신,208340,20834
파수,150900,15090
파인디지털,038950,03895
파트론,091700,09170
팬엔터테인먼트,068050,06805
펌텍코리아,251970,25197
풍강,093380,09338
플레이디,237820,23782
피에스텍,002230,00223
피엔티,137400,13740
피코그램,376180,37618
픽셀플러스,087600,08760
핑거,163730,16373
하나금융14호스팩,332710,33271
하나금융22호스팩,418170,41817
하나금융22호스팩,418170,41817
하나마이크론,067310,06731
하림,136480,13648
하이딥,365590,36559
하이제7호스팩,400840,40084
한국정보인증,053300,05330
한국컴퓨터,054040,05404
한국코퍼레이션,050540,05054
한빛소프트,047080,04708
한일화학,007770,00777
한컴MDS,086960,08696
현대이지웰,090850,09085
형지I&C,011080,01108
휴네시온,290270,29027
휴온스글로벌,084110,08411
흥국에프엔비,189980,18998
대주이엔티,114920,11492
메디안디노스틱,233250,23325
바이오시네틱스,281310,28131
앙츠,267810,26781
에이치엔에스하이텍,044990,04499
유니포인트,121060,12106
이노벡스,279060,27906
제이엠멀티,254160,25416
탑선,180060,18006
테크엔,308700,30870
테크트랜스,258050,25805
펨토바이오메드,327610,32761
BGF리테일,282330,28233
BNK금융지주,138930,13893
GS건설,006360,00636
HD현대,267250,26725
LG전자,066570,06657
SBS,034120,03412
SG글로벌,001380,00138
SHD,001770,00177
SK,034730,03473
SK가스,018670,01867
SK디스커버리,006120,00612
SK렌터카,068400,06840
SK리츠,395400,39540
STX중공업,071970,07197
YG PLUS,037270,03727
국제약품,002720,00272
금양,001570,00157
금호타이어,073240,07324
남선알미늄,008350,00835
농심홀딩스,072710,07271
다스코,058730,05873
다이나믹디자인,145210,14521
대한유화,006650,00665
더블유게임즈,192080,19208
동방아그로,007590,00759
동서,026960,02696
동성케미컬,102260,10226
동양,001520,00152
동양철관,008970,00897
동원F&B,049770,04977
동원시스템즈,014820,01482
동일제강,002690,00269
디와이,013570,01357
롯데푸드,002270,00227
마니커,027740,02774
맥쿼리인프라,088980,08898
메리츠금융지주,138040,13804
메리츠화재,000060,00006
메타랩스,090370,09037
모토닉,009680,00968
미래에셋생명,085620,08562
미원화학,134380,13438
백산,035150,03515
범양건영,002410,00241
베트남개발1,096300,09630
비케이탑스,030790,03079
삼성바이오로직스,207940,20794
삼성증권,016360,01636
삼성카드,029780,02978
삼양홀딩스,000070,00007
삼영무역,002810,00281
삼일제약,000520,00052
삼정펄프,009770,00977
샘표식품,248170,24817
서연이화,200880,20088
성보화학,003080,00308
세아베스틸지주,001430,00143
세아제강,306200,30620
송원산업,004430,00443
신성이엔지,011930,01193
신세계푸드,031440,03144
신한서부티엔디리츠,404990,40499
쌍용씨앤이,003410,00341
씨아이테크,004920,00492
아이에스동서,010780,01078
아주스틸,139990,13999
애경산업,018250,01825
애경케미칼,161000,16100
에이프로젠 MED,007460,00746
엔에이치엔,181710,18171
엠씨넥스,097520,09752
예스코홀딩스,015360,01536
우성,006980,00698
웅진,016880,01688
유니켐,011330,01133
유엔젤,072130,07213
유화증권,003460,00346
이구산업,025820,02582
이노션,214320,21432
이마트,139480,13948
일성신약,003120,00312
제이에스코퍼레이션,194370,19437
제이준코스메틱,025620,02562
종근당바이오,063160,06316
지투알,035000,03500
진도,088790,08879
진양화학,051630,05163
케이씨,029460,02946
케이탑리츠,145270,14527
코스모신소재,005070,00507
태평양물산,007980,00798
텔코웨어,078000,07800
티와이홀딩스,363280,36328
팜스코,036580,03658
플레이그램,009810,00981
하이스틸,071090,07109
하이트론씨스템즈,019490,01949
한국수출포장공업,002200,00220
한국앤컴퍼니,000240,00024
한국자산신탁,123890,12389
한국전력공사,015760,01576
한국주강,025890,02589
한국항공우주,047810,04781
한솔홀딩스,004150,00415
한신기계공업,011700,01170
한일시멘트,300720,30072
한화에어로스페이스,012450,01245
해태제과식품,101530,10153
현대글로비스,086280,08628
현대중공업,329180,32918
현대퓨처넷,126560,12656
효성 ITX,094280,09428
휴니드테크놀러지스,005870,00587
EV수성,084180,08418
KCC건설,021320,02132
KCI,036670,03667
KG ETS,151860,15186
NEW,160550,16055
SBI핀테크솔루션즈,950110,JPN07
SG&G,040610,04061
SGA솔루션즈,184230,18423
WI,073570,07357
iMBC,052220,05222
가온미디어,078890,07889
경남제약,053950,05395
고려시멘트,198440,19844
고려제약,014570,01457
국일신동,060480,06048
국전약품,307750,30775
글로벌에스엠,900070,CYM05
기가레인,049080,04908
나노,187790,18779
나무가,190510,19051
나인테크,267320,26732
남화산업,111710,11171
남화토건,091590,09159
넥스트아이,137940,13794
녹원씨엔아이,065560,06556
다산네트웍스,039560,03956
대명소노시즌,007720,00772
대성미생물,036480,03648
대신밸런스제8호스팩,336570,33657
대원산업,005710,00571
대한광통신,010170,01017
더블유에스아이,299170,29917
도이치모터스,067990,06799
동국제약,086450,08645
동일기연,032960,03296
듀오백,073190,07319
디에이치피코리아,131030,13103
디엑스앤브이엑스,180400,18040
디지아이,043360,04336
디지털대성,068930,06893
디케이락,105740,10574
래몽래인,200350,20035
레고켐바이오,141080,14108
로보스타,090360,09036
루멘스,038060,03806
리더스 기술투자,019570,01957
리드코프,012700,01270
모트렉스,118990,11899
미래컴퍼니,049950,04995
바이옵트로,222160,22216
박셀바이오,323990,32399
베셀,177350,17735
보라티알,250000,25000
브레인즈컴퍼니,099390,09939
브리지텍,064480,06448
비즈니스온,138580,13858
삼목에스폼,018310,01831
삼진엘앤디,054090,05409
삼천리자전거,024950,02495
삼현철강,017480,01748
서산,079650,07965
서전기전,189860,18986
서진오토모티브,122690,12269
선익시스템,171090,17109
